@target G0.S0
1.387 4.418
&
@target G10.S3
@type xy
1.1004 1.701
1.0774 1.575
1.0554 1.468
1.0334 1.466
1.0114 1.573
0.9894 1.836
0.9664 2.256
0.9444 2.681
0.9224 3.165
0.9004 3.693
0.8774 4.368
0.8554 5.002
0.8334 5.67
0.8114 6.199
0.7894 6.777
0.7664 7.544
0.7444 8.004
0.7224 8.64
0.7004 9.072
0.6774 9.155
0.6554 9.258
0.6334 9.094
0.6114 8.821
0.5894 8.633
0.5664 8.261
0.5444 7.811
0.5224 7.063
0.5004 6.112
0.4774 5.439
0.4554 4.703
0.4334 3.953
0.4114 3.418
0.3894 2.979
0.3664 2.54
0.3444 2.213
0.3224 1.919
0.3004 1.711
0.2774 1.625
0.2554 1.407
0.2334 1.247
0.2114 1.087
0.1894 0.865
0.1664 0.665
0.1444 0.563
0.1224 0.363
0.1004 0.208
0.0774 0.189
0.0554 0
0.0334 0.101
0.0114 0.031
-0.0106 0.134
-0.0336 0.641
-0.0556 1.107
-0.0776 1.655
-0.0996 2.474
-0.1226 3.423
&
@target G11.S0
@type xy
-0.097 3.847
-0.065 3.771
-0.032 3.481
0 3.577
0.032 3.831
0.065 3.915
0.097 4.361
0.129 4.897
0.161 5.589
0.194 6.067
0.226 6.691
0.258 7.211
0.29 7.345
0.323 7.562
0.355 8.231
0.387 8.725
0.419 8.904
0.452 9.144
0.484 9.172
0.516 9.053
0.548 8.745
0.581 8.357
0.613 7.731
0.645 7.111
0.677 6.195
0.71 5.26
0.742 4.426
0.774 3.318
0.806 2.49
0.839 1.894
0.871 0.951
0.903 0.444
0.935 0.221
0.968 0
1 0.081
1.032 0.145
1.065 0.104
1.097 0.625
1.129 0.537
1.161 0.549
1.194 0.585
1.226 0.506
1.258 0.572
1.29 1.035
1.323 1.46
1.355 2.202
1.387 3.244
&
@target G11.S1
@type xy
-0.067 2.501
-0.044 2.382
-0.022 2.334
0 2.382
0.022 2.507
0.044 2.684
0.067 2.972
0.089 3.498
0.111 4.214
0.133 4.921
0.156 5.643
0.178 6.381
0.2 6.955
0.222 7.56
0.244 7.799
0.267 8.404
0.289 8.918
0.311 9.344
0.333 9.532
0.356 9.581
0.378 9.5
0.4 9.263
0.422 8.988
0.444 8.746
0.467 8.262
0.489 7.736
0.511 6.974
0.533 6.159
0.556 5.412
0.578 4.693
0.6 3.959
0.622 3.363
0.644 2.904
0.667 2.507
0.689 2.248
0.711 1.972
0.733 1.829
0.756 1.706
0.778 1.461
0.8 1.351
0.822 1.186
0.844 0.958
0.867 0.781
0.889 0.642
0.911 0.455
0.933 0.282
0.956 0.179
0.978 0
1 0.024
1.022 0.028
1.044 0.322
